Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    HDB 1- And 2-Room Flats,"7,988","7,659","7,383","7,393","7,448","7,539","7,450","7,201","6,841","6,009","5,345","4,823","4,536","4,324","4,302","4,312","4,351","4,360","4,410","4,765","5,302","6,203"
    HDB 3-Room Flats,"38,150","38,703","38,725","38,329","39,536","41,834","44,011","45,975","47,335","48,882","50,770","51,972","52,457","50,437","50,265","49,685","50,232","50,534","52,193","53,913","55,058","58,334"
    HDB 4-Room Flats,"118,639","118,796","117,831","113,842","113,732","116,767","117,891","117,276","117,201","114,430","112,331","109,965","108,261","104,185","104,010","103,497","103,960","103,512","102,949","104,010","104,074","107,258"
    HDB 5-Room And Executive Flats,"79,193","77,578","75,995","71,827","71,050","72,790","75,607","77,864","81,338","82,284","84,543","86,374","87,620","87,692","90,137","90,683","91,675","91,112","88,795","86,981","84,395","82,896"
  Condominiums & Other Apartments,"41,257","39,079","38,005","35,412","33,357","31,824","30,522","28,575","28,193","27,818","28,321","28,731","27,513","26,880","29,360","29,243","27,376","25,197","23,143","22,583","20,483","17,554"
  Landed Properties,"14,385","14,538","14,057","13,114","12,657","12,846","13,027","13,047","13,255","13,058","13,337","13,498","13,400","13,171","13,312","13,018","13,092","13,149","13,091","13,778","14,013","14,380"
  Other Types Of Dwelling,"1,448","1,445","1,450","1,480","1,560","1,784","1,945","2,114","2,328","2,446","2,423","2,707","2,885","2,607","2,413","2,188","2,144","2,064","2,121","2,325","2,423","2,601"
35-39 Years,"289,221","299,515","300,818","303,720","300,956","301,998","301,067","302,029","305,503","313,970","316,161","320,024","317,311","307,243","301,973","298,203","299,153","302,908","310,643","320,753","322,878","322,621"
  Total HDB Dwellings,"221,876","231,776","233,930","237,856","238,954","242,354","243,732","246,019","249,264","256,374","258,711","262,331","261,611","253,244","247,895","246,224","249,582","254,807","262,765","271,175","274,097","275,959"
    HDB 1- And 2-Room Flats,"7,052","7,021","6,912","6,972","6,871","6,611","6,605","6,462","6,143","6,051","5,949","5,547","5,254","5,054","4,832","4,799","4,939","5,010","5,236","5,588","6,039","6,882"
